route_dir,route_id,direction_id,trip_id_representative,stop_sequence_canonical,stop_id,stop_name
13_0,13,0,13_D0_T001,34,HT_029,Dentes Godean
13_0,13,0,13_D0_T001,35,HT_149,Pasar Tlogorejo - A
13_0,13,0,13_D0_T001,36,HT_179,SDN 1 Demak Ijo - A
13_0,13,0,13_D0_T001,37,HT_086,Kantor Pos Demak Ijo - A
13_0,13,0,13_D0_T001,38,HT_117,Metro Nogotirto - A
13_0,13,0,13_D0_T001,39,HT_253,Toko Saerah - A
13_0,13,0,13_D0_T001,40,HT_079,Kantor Kal. Sidoarum - A
13_0,13,0,13_D0_T001,41,HT_215,Simpang Bantulan - A
13_0,13,0,13_D0_T001,42,HT_226,Simpang Munggur - A
13_0,13,0,13_D0_T001,43,HT_219,Simpang Gesikan - A
13_0,13,0,13_D0_T001,44,HT_058,Indomaret Klajuran - A
13_0,13,0,13_D0_T001,45,HT_124,Neutron Godean - A
13_0,13,0,13_D0_T001,46,HT_157,Polsek Godean - A
13_0,13,0,13_D0_T001,47,HT_092,Koramil Godean - A
13_0,13,0,13_D0_T001,48,HT_225,Simpang Mandungan (Iwak Kalen) - A
13_0,13,0,13_D0_T001,49,HT_083,Kantor Kap. Godean - A
13_0,13,0,13_D0_T001,50,HT_164,Pusat Kuliner Belut Godean
14_0,14,0,14_D0_T001,0,HT_012,Bandara Adisujtipto
14_0,14,0,14_D0_T001,1,HT_076,KKP Yogyakarta
14_0,14,0,14_D0_T001,2,HT_033,Disnakertrans - A
14_0,14,0,14_D0_T001,3,HT_190,SMKN 1 Depok - Jl. Raya Tajem - A
14_0,14,0,14_D0_T001,4,HT_180,SDN 1 Depok - B
14_0,14,0,14_D0_T001,5,HT_078,KUA Depok - A
14_0,14,0,14_D0_T001,6,HT_105,MAN 2 Sleman - A
14_0,14,0,14_D0_T001,7,HT_259,UNRIYO - A
14_0,14,0,14_D0_T001,8,HT_022,Budi Mulia Dua - A
14_0,14,0,14_D0_T001,9,HT_059,Indomaret Pokoh Sambiroto - A
14_0,14,0,14_D0_T001,10,HT_081,Kantor Kal. Wedomartani - A
14_0,14,0,14_D0_T001,11,HT_214,Simpang Babadan - A
14_0,14,0,14_D0_T001,12,HT_228,Simpang Selomartani - A
14_0,14,0,14_D0_T001,13,HT_221,Simpang Kabunan - A
14_0,14,0,14_D0_T001,14,HT_067,Jl. Raya Kabunan - A
14_0,14,0,14_D0_T001,15,HT_172,RS Kemasan - A
14_0,14,0,14_D0_T001,16,HT_223,Simpang Kenti - A
14_0,14,0,14_D0_T001,17,HT_136,Pasar Jangkang - A
14_0,14,0,14_D0_T001,18,HT_166,Puskesmas Ngemplak - A
14_0,14,0,14_D0_T001,19,HT_255,Tugu Batas Desa Yapah - A
14_0,14,0,14_D0_T001,20,HT_252,Timur Jembatan Yapah - A
14_0,14,0,14_D0_T001,21,HT_187,SMAN 2 Ngaglik - A
14_0,14,0,14_D0_T001,22,HT_224,Simpang Losari - A
14_0,14,0,14_D0_T001,23,HT_203,SPBU Mindi - A
14_0,14,0,14_D0_T001,24,HT_099,Lap. Klidon - A
14_0,14,0,14_D0_T001,25,HT_080,Kantor Kal. Sukoharjo - A
14_0,14,0,14_D0_T001,26,HT_182,SDN Selomulyo - A
14_0,14,0,14_D0_T001,27,HT_176,RSU Gramedika - A
14_0,14,0,14_D0_T001,28,HT_216,Simpang Besi Jakal - A
14_0,14,0,14_D0_T001,29,HT_273,YAKKUM - A
14_0,14,0,14_D0_T001,30,HT_021,Boulevard UII
14_0,14,0,14_D0_T001,31,HT_021,Boulevard UII
14_0,14,0,14_D0_T001,32,HT_217,Simpang Degolan - A
14_0,14,0,14_D0_T001,33,HT_177,Raminten - A
14_0,14,0,14_D0_T001,34,HT_036,Dusun Kledokan - A
14_0,14,0,14_D0_T001,35,HT_173,RS Panti Nugroho
14_0,14,0,14_D0_T001,36,HT_248,Terminal Pakem
14_0,14,0,14_D0_T001,37,HT_181,SDN Percobaan 3 Pakem
14_0,14,0,14_D0_T001,38,HT_199,SMPN 4 Pakem
14_0,14,0,14_D0_T001,39,HT_036,Dusun Kledokan - A
14_0,14,0,14_D0_T001,40,HT_177,Raminten - A
14_0,14,0,14_D0_T001,41,HT_217,Simpang Degolan - A
14_0,14,0,14_D0_T001,42,HT_021,Boulevard UII
14_0,14,0,14_D0_T001,43,HT_021,Boulevard UII
14_0,14,0,14_D0_T001,44,HT_273,YAKKUM - A
14_0,14,0,14_D0_T001,45,HT_216,Simpang Besi Jakal - A
14_0,14,0,14_D0_T001,46,HT_176,RSU Gramedika - A
14_0,14,0,14_D0_T001,47,HT_182,SDN Selomulyo - A
14_0,14,0,14_D0_T001,48,HT_080,Kantor Kal. Sukoharjo - A
14_0,14,0,14_D0_T001,49,HT_099,Lap. Klidon - A
14_0,14,0,14_D0_T001,50,HT_203,SPBU Mindi - A
14_0,14,0,14_D0_T001,51,HT_224,Simpang Losari - A
14_0,14,0,14_D0_T001,52,HT_187,SMAN 2 Ngaglik - A
14_0,14,0,14_D0_T001,53,HT_252,Timur Jembatan Yapah - A
14_0,14,0,14_D0_T001,54,HT_255,Tugu Batas Desa Yapah - A
14_0,14,0,14_D0_T001,55,HT_166,Puskesmas Ngemplak - A
14_0,14,0,14_D0_T001,56,HT_136,Pasar Jangkang - A
15_0,15,0,15_D0_T001,0,HT_220,Simpang Gose - A
15_0,15,0,15_D0_T001,1,HT_254,Tugu Adipura
15_0,15,0,15_D0_T001,2,HT_133,Pasar Bantul - A
15_0,15,0,15_D0_T001,3,HT_009,BRI Bantul
15_0,15,0,15_D0_T001,4,HT_097,Lap. Karang - A
15_0,15,0,15_D0_T001,5,HT_223,Simpang Kenti - A
15_0,15,0,15_D0_T001,6,HT_085,Kantor Kesbangpol - A
15_0,15,0,15_D0_T001,7,HT_222,Simpang Kasongan - A
15_0,15,0,15_D0_T001,8,HT_142,Pasar Niten - A
15_0,15,0,15_D0_T001,9,HT_034,Dongkelan - A
15_0,15,0,15_D0_T001,10,HT_150,Pasty - A
15_0,15,0,15_D0_T001,11,HT_035,Dukuh - A
15_0,15,0,15_D0_T001,12,HT_049,Gereja Pugeran - A
15_0,15,0,15_D0_T001,13,HT_240,Tamansari
15_0,15,0,15_D0_T001,14,HT_075,KHA Dahlan - A
15_0,15,0,15_D0_T001,15,HT_213,Senopati
15_0,15,0,15_D0_T001,16,HT_235,Suryotomo
15_0,15,0,15_D0_T001,17,HT_110,Malioboro 1
15_0,15,0,15_D0_T001,18,HT_110,Malioboro 1
15_0,15,0,15_D0_T001,19,HT_111,Malioboro 2
15_0,15,0,15_D0_T001,20,HT_112,Malioboro 3
15_0,15,0,15_D0_T001,21,HT_075,KHA Dahlan - A
15_0,15,0,15_D0_T001,22,HT_125,Ngabean
15_0,15,0,15_D0_T001,23,HT_049,Gereja Pugeran - A
15_0,15,0,15_D0_T001,24,HT_035,Dukuh - A
15_0,15,0,15_D0_T001,25,HT_150,Pasty - A
15_0,15,0,15_D0_T001,26,HT_034,Dongkelan - A
15_0,15,0,15_D0_T001,27,HT_142,Pasar Niten - A
15_0,15,0,15_D0_T001,28,HT_222,Simpang Kasongan - A
15_0,15,0,15_D0_T001,29,HT_085,Kantor Kesbangpol - A
15_0,15,0,15_D0_T001,30,HT_223,Simpang Kenti - A
15_0,15,0,15_D0_T001,31,HT_197,SMPN 2 Bantul - A
15_0,15,0,15_D0_T001,32,HT_082,Kantor Kap. Bantul
15_0,15,0,15_D0_T001,33,HT_133,Pasar Bantul - A
15_0,15,0,15_D0_T001,34,HT_041,Eks Stasiun Bantul
15_0,15,0,15_D0_T001,35,HT_254,Tugu Adipura
15_0,15,0,15_D0_T001,36,HT_220,Simpang Gose - A
15_0,15,0,15_D0_T001,37,HT_249,Terminal Palbapang
1A_0,1A,0,1A_D0_T001,0,HT_077,KR - A
1A_0,1A,0,1A_D0_T001,1,HT_138,Pasar Kalasan - A
1A_0,1A,0,1A_D0_T001,2,HT_016,Bhayangkara
1A_0,1A,0,1A_D0_T001,3,HT_079,Kantor Kal. Sidoarum - A
1A_0,1A,0,1A_D0_T001,4,HT_250,Terminal Prambanan
1A_0,1A,0,1A_D0_T001,5,HT_037,Edotel Kalasan - A
1A_0,1A,0,1A_D0_T001,6,HT_137,Pasar Kalasan -  B
1A_0,1A,0,1A_D0_T001,7,HT_077,KR - A
1A_0,1A,0,1A_D0_T001,8,HT_056,Hyundai
1A_0,1A,0,1A_D0_T001,9,HT_064,Jayakarta
1A_0,1A,0,1A_D0_T001,10,HT_062,Janti Selatan
1A_0,1A,0,1A_D0_T001,11,HT_071,Jogjatronik
1A_0,1A,0,1A_D0_T001,12,HT_047,Gedung Wanita
1A_0,1A,0,1A_D0_T001,13,HT_234,Superindo Urip Sumoharjo
