trip_id,route_id,direction_id,stop_id,next_stop_id,segment_id,stop_sequence,tod_min,dep_tod_min_mod,travel_time_min,dist_m
2A_D0_T018,2A,0,HT_064,HT_004,HT_064->HT_004,27,563.0,563.0,2.0,4162.364346932194
2A_D0_T018,2A,0,HT_004,HT_077,HT_004->HT_077,28,565.0,565.0,1.0,7472.777211191565
2A_D0_T018,2A,0,HT_077,HT_235,HT_077->HT_235,29,566.0,566.0,3.0,9155.531068522061
2A_D0_T018,2A,0,HT_235,HT_038,HT_235->HT_038,30,569.0,569.0,1.0,1224.7585858408772
2A_D0_T018,2A,0,HT_038,HT_077,HT_038->HT_077,31,570.0,570.0,3.0,8083.514811843999
2A_D0_T018,2A,0,HT_077,HT_168,HT_077->HT_168,32,573.0,573.0,3.0,7987.23896905524
2A_D0_T018,2A,0,HT_168,HT_024,HT_168->HT_024,33,576.0,576.0,1.0,329.7143162873189
2A_D0_T018,2A,0,HT_024,HT_194,HT_024->HT_194,34,577.0,577.0,1.0,549.1837445508238
2A_D0_T018,2A,0,HT_194,HT_093,HT_194->HT_093,35,578.0,578.0,1.0,340.47727738871885
2A_D0_T018,2A,0,HT_093,HT_261,HT_093->HT_261,36,579.0,579.0,3.0,907.4055359813601
2A_D0_T018,2A,0,HT_261,HT_167,HT_261->HT_167,37,582.0,582.0,1.0,265.09766244700586
2A_D0_T018,2A,0,HT_167,HT_211,HT_167->HT_211,38,583.0,583.0,3.0,1514.9036317627479
2A_D0_T018,2A,0,HT_211,HT_167,HT_211->HT_167,39,586.0,586.0,2.0,1514.9036317627479
2A_D0_T019,2A,0,HT_119,HT_247,HT_119->HT_247,2,524.0,524.0,3.0,786.5138552047989
2A_D0_T019,2A,0,HT_247,HT_119,HT_247->HT_119,3,527.0,527.0,3.0,786.5138552047989
2A_D0_T019,2A,0,HT_119,HT_119,HT_119->HT_119,4,530.0,530.0,3.0,0.0
2A_D0_T019,2A,0,HT_119,HT_087,HT_119->HT_087,5,533.0,533.0,3.0,1508.035735182472
2A_D0_T019,2A,0,HT_087,HT_001,HT_087->HT_001,6,536.0,536.0,3.0,1317.3338472263626
2A_D0_T019,2A,0,HT_001,HT_077,HT_001->HT_077,7,539.0,539.0,2.0,9114.960753828795
2A_D0_T019,2A,0,HT_077,HT_114,HT_077->HT_114,8,541.0,541.0,1.0,9220.989634180785
2A_D0_T019,2A,0,HT_114,HT_115,HT_114->HT_115,9,542.0,542.0,1.0,326.14955245357993
2A_D0_T019,2A,0,HT_115,HT_110,HT_115->HT_110,10,543.0,543.0,3.0,355.4914927126207
2A_D0_T019,2A,0,HT_110,HT_111,HT_110->HT_111,11,546.0,546.0,1.0,489.4173089442673
2A_D0_T019,2A,0,HT_111,HT_112,HT_111->HT_112,12,547.0,547.0,2.0,524.6009096261446
2A_D0_T019,2A,0,HT_112,HT_213,HT_112->HT_213,13,549.0,549.0,1.0,286.70477084473055
2A_D0_T019,2A,0,HT_213,HT_089,HT_213->HT_089,14,550.0,550.0,3.0,275.5936740217007
2A_D0_T019,2A,0,HT_089,HT_162,HT_089->HT_162,15,553.0,553.0,2.0,1348.564099095273
2A_D0_T019,2A,0,HT_162,HT_205,HT_162->HT_205,16,555.0,555.0,4.0,1424.1083155458577
2A_D0_T019,2A,0,HT_205,HT_170,HT_205->HT_170,17,559.0,559.0,2.0,556.7940721946112
