segment_id,seg_median_min,seg_mean_min,seg_n,seg_p05,seg_p95,route_id,route_median_min
HT_064->HT_062,3.0,3.0,116,3.0,3.0,1A,2.0
HT_064->HT_169,4.0,4.0,35,4.0,4.0,3B,2.0
HT_064->HT_183,2.0,2.0,48,2.0,2.0,1B,2.0
HT_064->HT_207,4.0,4.0,48,4.0,4.0,1B,2.0
HT_065->HT_023,4.0,3.769230769230769,26,3.0,4.0,13,2.0
HT_065->HT_031,3.0,3.0,24,3.0,3.0,11,3.0
HT_065->HT_114,2.0,2.0,85,2.0,2.0,1A,2.0
HT_066->HT_111,2.0,2.0,46,2.0,2.0,6,2.0
HT_067->HT_172,1.0,1.2666666666666666,30,1.0,2.0,14,1.0
HT_068->HT_212,3.0,4.409090909090909,88,3.0,7.0,3A,2.0
HT_069->HT_011,2.0,2.0,22,2.0,2.0,L-1,2.0
HT_069->HT_118,7.0,7.0,37,7.0,7.0,8,2.0
HT_069->HT_209,2.0,2.0,83,2.0,2.0,1B,2.0
HT_070->HT_005,1.0,1.0,22,1.0,1.0,L-1,2.0
HT_070->HT_107,1.0,1.0,22,1.0,1.0,L-1,2.0
HT_070->HT_238,4.0,4.0,29,4.0,4.0,9,3.0
HT_070->HT_247,2.0,2.0,29,2.0,2.0,9,3.0
HT_071->HT_047,2.0,2.2672413793103448,116,2.0,3.0,1A,2.0
HT_072->HT_053,1.0,1.0,24,1.0,1.0,11,3.0
HT_072->HT_074,4.0,4.0,37,4.0,4.0,8,2.0
HT_072->HT_148,4.0,4.0,24,4.0,4.0,11,3.0
HT_073->HT_154,2.0,2.0,86,2.0,2.0,3A,2.0
HT_073->HT_178,5.0,5.0,24,5.0,5.0,11,3.0
HT_074->HT_134,1.0,1.0,72,1.0,1.0,8,2.0
HT_075->HT_016,2.0,1.5138888888888888,72,1.0,2.0,8,2.0
HT_075->HT_035,8.0,8.0,37,8.0,8.0,8,2.0
HT_075->HT_125,3.0,2.7027027027027026,296,2.0,3.0,15,2.0
HT_075->HT_213,3.0,2.675925925925926,108,2.0,3.0,15,2.0
HT_075->HT_239,2.0,2.0,46,2.0,2.0,6,2.0
HT_076->HT_033,2.0,2.0,30,2.0,2.0,14,1.0
HT_076->HT_137,2.0,2.0,37,2.0,2.0,8,2.0
HT_076->HT_150,4.0,4.0,29,4.0,4.0,9,3.0
HT_077->HT_004,1.0,1.0,60,1.0,1.0,2B,2.0
HT_077->HT_017,2.0,2.0,35,2.0,2.0,3B,2.0
HT_077->HT_024,3.0,3.0,31,3.0,3.0,5B,3.0
HT_077->HT_043,1.0,1.0,35,1.0,1.0,10,2.0
HT_077->HT_056,9.0,9.0,85,9.0,9.0,1A,2.0
HT_077->HT_060,2.0,2.0,35,2.0,2.0,3B,2.0
HT_077->HT_094,3.0,3.0,24,3.0,3.0,11,3.0
HT_077->HT_101,2.0,2.0,24,2.0,2.0,4B,2.0
HT_077->HT_110,4.0,4.0,57,4.0,4.0,3A,2.0
HT_077->HT_114,1.0,1.0,69,1.0,1.0,2A,2.0
HT_077->HT_138,4.0,4.0,85,4.0,4.0,1A,2.0
HT_077->HT_168,3.0,3.0,69,3.0,3.0,2A,2.0
HT_077->HT_192,4.0,4.0,60,4.0,4.0,2B,2.0
HT_077->HT_194,2.0,2.0,113,2.0,2.0,2B,2.0
HT_077->HT_235,3.0,3.0,69,3.0,3.0,2A,2.0
HT_077->HT_257,2.0,2.0,24,2.0,2.0,4A,2.0
HT_077->HT_268,2.0,2.0,37,2.0,2.0,8,2.0
HT_078->HT_105,1.0,1.2,30,1.0,2.0,14,1.0
HT_079->HT_215,2.0,1.64,25,1.0,2.0,13,2.0
HT_079->HT_250,2.0,2.0,85,2.0,2.0,1A,2.0
HT_079->HT_253,1.0,1.0,24,1.0,1.0,13,2.0
HT_080->HT_099,1.0,1.0,60,1.0,1.0,12,1.0
HT_080->HT_182,1.0,1.2,30,1.0,2.0,14,1.0
HT_081->HT_214,1.0,1.0,30,1.0,1.0,14,1.0
HT_082->HT_133,1.0,1.0,73,1.0,1.0,15,2.0
HT_083->HT_118,2.0,2.0,37,2.0,2.0,8,2.0
HT_083->HT_164,3.0,2.88,25,2.0,3.0,13,2.0
HT_083->HT_225,1.0,1.0,23,1.0,1.0,13,2.0
HT_084->HT_165,1.0,1.1904761904761905,42,1.0,2.0,12,1.0
HT_085->HT_222,3.0,3.0,73,3.0,3.0,15,2.0
HT_085->HT_223,2.0,2.0,73,2.0,2.0,15,2.0
HT_086->HT_117,1.0,1.0,23,1.0,1.0,13,2.0
HT_086->HT_179,1.0,1.0,26,1.0,1.0,13,2.0
HT_087->HT_001,3.0,3.0,69,3.0,3.0,2A,2.0
HT_087->HT_119,5.0,5.0,60,5.0,5.0,2B,2.0
HT_088->HT_020,2.0,2.0,19,2.0,2.0,5A,2.5
HT_088->HT_054,5.0,5.0,22,5.0,5.0,L-1,2.0
HT_088->HT_100,2.0,2.0,60,2.0,2.0,5B,3.0
HT_088->HT_209,7.0,7.0,29,7.0,7.0,9,3.0
HT_088->HT_238,2.0,2.5454545454545454,22,2.0,5.0,L-1,2.0
HT_089->HT_162,2.0,2.0,69,2.0,2.0,2A,2.0
HT_089->HT_213,2.0,2.0,60,2.0,2.0,2B,2.0
HT_090->HT_245,4.0,4.5,90,2.0,7.0,3B,2.0
HT_091->HT_077,5.0,5.0,24,5.0,5.0,4B,2.0
HT_091->HT_156,1.0,1.0,24,1.0,1.0,4B,2.0
HT_091->HT_194,4.0,4.0,57,4.0,4.0,3A,2.0
HT_092->HT_157,1.0,1.0,25,1.0,1.0,13,2.0
