stop_id,stop_name,lat,lon,source_rows
HT_206,STIE YKPN - A,-7.767023,110.410413,1
HT_207,Sahid J-Walk,-7.779567,110.414697,1
HT_208,Samirono,-7.777646,110.387512,1
HT_209,Samsat,-7.787165,110.359764,1
HT_210,Sanata Dharma,-7.775083,110.389249,1
HT_211,Santren,-7.766374,110.391976,1
HT_212,Selokan Mataram Maguwo,-7.77096,110.431043,1
HT_213,Senopati,-7.801501,110.367038,1
HT_214,Simpang Babadan - A,-7.723146,110.435469,1
HT_215,Simpang Bantulan - A,-7.774802,110.322299,1
HT_216,Simpang Besi Jakal - A,-7.70021,110.415388,1
HT_217,Simpang Degolan - A,-7.684067,110.419171,1
HT_218,Simpang Diklat DIY - A,-7.828797,110.332504,1
HT_219,Simpang Gesikan - A,-7.773567,110.316446,1
HT_220,Simpang Gose - A,-7.891818,110.325388,1
HT_221,Simpang Kabunan - A,-7.71859,110.438559,1
HT_222,Simpang Kasongan - A,-7.846332,110.344539,1
HT_223,Simpang Kenti - A,-7.703531,110.448079,1
HT_224,Simpang Losari - A,-7.704851,110.433006,1
HT_225,Simpang Mandungan (Iwak Kalen) - A,-7.770049,110.303015,1
HT_226,Simpang Munggur - A,-7.77394,110.318355,1
HT_227,Simpang Palem Raya - A,-7.730553,110.397561,1
HT_228,Simpang Selomartani - A,-7.722328,110.438107,1
HT_229,Simpang Wojo,-7.836372,110.373776,1
HT_230,Sosrowijayan,-7.79207,110.361618,1
HT_231,Stasiun Yogyakarta,-7.789651,110.361724,1
HT_232,Stikes Guna Bangsa,-7.760772,110.408957,1
HT_233,Superindo Jakal - A,-7.752579,110.384644,1
HT_234,Superindo Urip Sumoharjo,-7.783094,110.382333,1
HT_235,Suryotomo,-7.79926,110.369312,1
HT_236,Susteran Novisiat,-7.76613,110.392154,1
HT_237,TNI AL - A,-7.792319,110.390949,1
HT_238,TVRI - A,-7.765273,110.361649,1
HT_239,Taman Pintar,-7.801416,110.367152,1
HT_240,Tamansari,-7.809838,110.356008,1
