kml_stop_name,lat,lon,route_refs,description_preview
Museum Biologi,-7.801629,110.37415,1B|4A,1B _ Trans Jogja Tujuan / Destination => Senopati - B 4A _ Trans Jogja Tujuan / Destination => Hayam Wuruk - A
Museum Perjuangan,-7.815141,110.371858,2B|3B,2B _ Trans Jogja Tujuan / Destination => Purawisata - B 3B _ Trans Jogja Tujuan / Destination => Jokteng Wetan
Neutron Godean - A,-7.771875,110.310305,13,13 _ Trans Jogja Tujuan / Destination => Indomaret Klajuran - A
Neutron Godean - B,-7.771992,110.310489,13,13 _ Trans Jogja Tujuan / Destination => Polsek Godean - B
Ngabean,-7.803719,110.356236,1B|2B|3A|3B|6|8|9|10|11|13|15,1B _ Trans Jogja Tujuan / Destination => KHA Dahlan - B 2B _ Trans Jogja Tujuan / Destination => Pasar Serangann - A 3A _ Trans Jogja Tujuan / Destination => Tamansari 3B _ Trans Jogja Tujuan / Destin
Nitikan,-7.824797,110.379983,3B,3B _ Trans Jogja Tujuan / Destination => Widya Wiwaha - B
Nogosaren,-7.772096,110.33326,8,8 _ Trans Jogja Tujuan / Destination => Universitas Aisyiyah
Nyutran Tamansiswa,-7.810933,110.376957,4A,4A _ Trans Jogja Tujuan / Destination => Lapas Wirogunan - A
Olive Glagahsari,-7.804195,110.388758,4B,4B _ Trans Jogja Tujuan / Destination => SGM Kusumanegara - A
Pakualaman,-7.801649,110.375769,1B|4B,1B _ Trans Jogja Tujuan / Destination => Taman Makam Pahlawan - A 4B _ Trans Jogja Tujuan / Destination => Taman Makam Pahlawan - A
Pakuwon Mall - A,-7.758157,110.399478,3A|5A,3A _ Trans Jogja Tujuan / Destination => Terminal Condongcatur 5A _ Trans Jogja Tujuan / Destination => Terminal Condongcatur
Pakuwon Mall - B,-7.758039,110.398639,3B|5B,3B _ Trans Jogja Tujuan / Destination => RS JIH 5B _ Trans Jogja Tujuan / Destination => RS JIH
Pandeyan,-7.815783,110.386402,4B,4B _ Trans Jogja Tujuan / Destination => UTY Glagahsari - B
Park and Ride Gamping,-7.802454,110.314878,6|10,6 _ Trans Jogja ! -- BERANGKAT / DEPARTURE -- ! Tujuan / Destination => PKU Gamping 10 _ Trans Jogja ! -- BERANGKAT / DEPARTURE -- ! Tujuan / Destination => PKU Gamping
Pasar Angkasa,-7.791715,110.410169,1B|3B,1B _ Trans Jogja Tujuan / Destination => RS HArdjolukito 3B _ Trans Jogja Tujuan / Destination => RS HArdjolukito
Pasar Bantul - A,-7.885246,110.331045,15,15 _ Trans Jogja Tujuan / Destination => BRI Bantul
Pasar Bantul - B,-7.88512,110.331198,15,15 _ Trans Jogja Tujuan / Destination => Eks Stasiun Bantul
Pasar Demangan,-7.779526,110.3884,,4A - Trans Jogja Tujuan / Destination => Demangan
Pasar Gamping - A,-7.800627,110.323811,6|10,6 _ Trans Jogja Tujuan / Destination => Universitas BSI - B 10 _ Trans Jogja Tujuan / Destination => Pelem Gurih - A
Pasar Gamping - B,-7.800742,110.323551,6|10,6 _ Trans Jogja Tujuan / Destination => BPD Gamping 10 _ Trans Jogja Tujuan / Destination => BPD Gamping
Pasar Giwangan - A,-7.831511,110.390009,3A|3B|4A|4B,3A _ Trans Jogja Tujuan / Destination => Gudang SGM - A 3B _ Trans Jogja Tujuan / Destination => Gudang SGM - A 4A _ Trans Jogja Tujuan / Destination => Gudang SGM - A 4B _ Trans Jogja Tujuan / Destin
Pasar Giwangan - B,-7.832482,110.390199,3A|3B|4A|4B,3A _ Trans Jogja Tujuan / Destination => Terminal Giwangan 3B _ Trans Jogja Tujuan / Destination => Terminal Giwangan 4A _ Trans Jogja Tujuan / Destination => Terminal Giwangan 4B _ Trans Jogja Tujuan
Pasar Jangkang - A,-7.702111,110.447333,14,14 _Trans Jogja Tujuan / Destination => Puskesmas Ngemplak - A
Pasar Jangkang - B,-7.702046,110.447423,14,14 _Trans Jogja Tujuan / Destination => Simpang Kenti - B
Pasar Kalasan -  B,-7.769913,110.468993,1A,1A _ Trans Jogja Tujuan / Destination => RS Bhayangkara - B
Pasar Kalasan - A,-7.769382,110.469632,1A,1A _ Trans Jogja Tujuan / Destination => Cupuwatu
Pasar Kolombo - A,-7.745353,110.388874,12,12 _ Trans Jogja Tujuan / Destination => Gardu PLN - A
Pasar Kolombo - B,-7.744656,110.389318,12,12 _ Trans Jogja Tujuan / Destination => Superindo Jakal - B
Pasar Kranggan Selatan,-7.782845,110.365659,3B|8|11|13|L-1,3B _ Trans Jogja Tujuan / Destination => Jend. Sudirman - B 8 _ Trans Jogja Tujuan / Destination => Jend. Sudirman - B 11 _ Trans Jogja Tujuan / Destination => Jend. Sudirman - B 13 _ Trans Jogja Tuju
Pasar Kranggan Timur,-7.781839,110.367235,2A,2A _ Trans Jogja Tujuan / Destination => Mangkubumi 1
Pasar Legi - A,-7.809109,110.350094,6,6 _ Trans Jogja Tujuan / Destination => SMK Seni - A
Pasar Legi - B,-7.810946,110.349652,6,6 _ Trans Jogja Tujuan / Destination => Mualimin - A
Pasar Niten - A,-7.838792,110.350526,15,15 _ Trans Jogja Tujuan / Destination => Dongkelan - A
Pasar Niten - B,-7.838113,110.351179,15,15 _ Trans Jogja Tujuan / Destination => Simpang Kasongan - B
Pasar Pathuk,-7.795994,110.361866,3B|8|L-1,3B _ Trans Jogja Tujuan / Destination => Sosrowijayan 8 _ Trans Jogja Tujuan / Destination => Sosrowijayan L-1 _ Trans Jogja Tujuan / Destination => Sosrowijayan
Pasar Pingit - A,-7.782809,110.358762,8|13,8 _ Trans Jogja Tujuan / Destination => Pasar Kranggan Selatan 13 _ Trans Jogja Tujuan / Destination => Pasar Kranggan Selatan
Pasar Pingit - B,-7.782882,110.359101,8,8 _ Trans Jogja Tujuan / Destination => BKD - B
Pasar Sentul,-7.801717,110.37677,1B|4A,1B _ Trans Jogja Tujuan / Destination => Museum Biologi 4A _ Trans Jogja Tujuan / Destination => Museum Biologi
Pasar Sepeda,-7.816358,110.380364,2B|4A,2B _ Trans Jogja Tujuan / Destination => Museum Perjuangan 4A _ Trans Jogja Tujuan / Destination => Nyutran Tamansiswa
Pasar Serangan - A,-7.801112,110.354235,2B|9|11|13,2B _ Trans Jogja Tujuan / Destination => SMAN 1 - A 9 _ Trans Jogja Tujuan / Destination => SMAN 1 - A 11 _ Trans Jogja Tujuan / Destination => SMAN 1 - A 13 _ Trans Jogja Tujuan / Destination => SMAN
Pasar Serangan - B,-7.800998,110.353184,9|11,9 _ Trans Jogja Tujuan / Destination => Ngabean 11 _ Trans Jogja Tujuan / Destination => Ngabean
Pasar Telo - A,-7.824382,110.373324,11,11 _ Trans Jogja Tujuan / Destination => Jogokariyan - A
Pasar Telo - B,-7.825692,110.37347,11,11 _ Trans Jogja Tujuan / Destination => Wojo (Randubellang) - B
Pasar Tlogorejo - A,-7.778808,110.339471,8|13,8 _ Trans Jogja Tujuan / Destination => McD 13 _ Trans Jogja Tujuan / Destination => McD
Pasar Tlogorejo - B,-7.778812,110.339326,8|13,8 _ Trans Jogja Tujuan / Destination => SDN 1 Demak Ijo - B 13 _ Trans Jogja Tujuan / Destination => SDN 1 Demak Ijo - B
Pasty - A,-7.825689,110.354483,15,15 _ Trans Jogja Tujuan / Destination => Dukuh - A
Pasty - B,-7.825767,110.354505,15,15 _ Trans Jogja Tujuan / Destination => Dongkelan - B
